Date,average_sentiment,mention_count,total_score,sentiment_moving_average_3d,sentiment_mentions_interaction
2020-01-09,0.4389428698596729,0.0806320907617504,0.01812273276904474,0.38372723175619755,0.03539288132174834
2020-01-10,0.3709807421273793,0.05713128038897893,0.010157194679564692,0.38372723175619755,0.021194604797390795
2020-01-13,0.3412580832815405,0.08022690437601296,0.01488814993954051,0.38372723175619755,0.027378079614969617
2020-01-14,0.29409475159254245,0.11831442463533225,0.02590689238210399,0.3354445256671541,0.03479565132294262
2020-01-15,0.2636117016345587,0.08508914100486223,0.023171100362756953,0.2996548455028805,0.02243049325091464
2020-01-16,0.3704006850331907,0.07131280388978929,0.012061668681983072,0.30936904608676397,0.02641431141241554
2020-01-17,0.32178991551808805,0.04862236628849271,0.022747883917775092,0.31860076739527915,0.0156461871402636
2020-01-21,0.3651603972135215,0.0299837925445705,0.004443772672309552,0.3524503325882668,0.010948893595543187
2020-01-22,0.34088588742508286,0.03241491085899514,0.005350665054413543,0.3426120667188975,0.011049785653973512
2020-01-23,0.4400442091086633,0.026337115072933546,0.006605199516324063,0.3820301645824225,0.011589494972472898
2020-01-24,0.35646680144860377,0.04862236628849271,0.0074062877871825875,0.37913229932744996,0.017332259389721414
2020-01-27,0.2519538373915811,0.07252836304700161,0.00999093107617896,0.349488282649616,0.018273799389421804
2020-01-28,0.30734960060459865,0.28363047001620745,0.05782950423216445,0.3052567464815945,0.08717371167877595
2020-01-29,0.37739739539796313,0.09643435980551053,0.01744256348246675,0.312233611131381,0.0363940762174697
2020-01-30,0.16771800530518743,0.057536466774716376,0.02552902055622733,0.2841550004359164,0.009649901439763622
2020-01-31,0.2215090430684281,0.05996758508914101,0.024909310761789604,0.2555414812571929,0.013283362388220164
2020-02-03,0.27735372607040226,0.08468395461912478,0.012787182587666264,0.22219359148133924,0.023487410351991114
2020-02-04,0.32694872731767666,0.0619935170178282,0.008041112454655382,0.2752704988188357,0.02026870149092566
2020-02-05,0.3816829801420003,0.03241491085899514,0.0054564691656590085,0.3286618111766931,0.012372219777698552
2020-02-06,0.24543674407113142,0.03768233387358185,0.005985489721886336,0.31802281717693615,0.009248629334933235
2020-02-07,0.2802079834580225,0.05915721231766612,0.004685610640870617,0.30244256922371804,0.016576323170531315
2020-02-10,0.3077416469032089,0.0692868719611021,0.024395405078597342,0.27779545814412093,0.021322456086081326
2020-02-11,0.23138511924202879,0.041329011345218804,0.005713422007255139,0.2731115832010867,0.009562918218268613
2020-02-12,0.3878194147035886,0.04538087520259319,0.005229746070133011,0.3089820602829421,0.01759958445980629
2020-02-13,0.3810139226022544,0.035251215559157216,0.00441354292623942,0.3334061521826239,0.013431203916692114
2020-02-14,0.27982478226634,0.018638573743922204,0.02332224909310762,0.34955270652406095,0.005215534839648152
2020-02-18,0.3247574422849242,0.13492706645056726,0.016263603385731563,0.3285320490511729,0.04381856899549423
2020-02-19,0.3305571637089647,0.04740680713128039,0.013089480048367595,0.3117131294200763,0.015670659705813966
2020-02-20,0.19453062837317145,0.027147487844408427,0.017608827085852482,0.28328174478902013,0.005281017869125805
2020-02-21,0.33542582539229243,0.03322528363047002,0.005652962515114873,0.2868378724914762,0.011144618185643428
2020-02-24,0.2708594483702475,0.06320907617504051,0.018228536880290205,0.2669386340452371,0.017120775504764426
2020-02-25,0.3024836017445286,0.04376012965964344,0.01194074969770254,0.3029229585023561,0.01323672163225652
2020-02-26,0.41216022067910474,0.05348460291734198,0.013784764207980655,0.328501090264627,0.02204422574134596
2020-02-27,0.3103480865793997,0.06807131280388978,0.011366384522370014,0.3416639696676777,0.021125801679634987
2020-02-28,0.3036912111091307,0.07455429497568881,0.015250906892382106,0.342066506122545,0.022641484134554316
2020-03-02,0.22665663819039267,0.08306320907617504,0.015734582829504233,0.28023197862630767,0.018826827726511546
2020-03-03,0.3171676705085148,0.04294975688816856,0.008932889963724306,0.28250517326934604,0.01362227434112746
2020-03-04,0.3048013957955743,0.02957860615883306,0.0037182587666263604,0.28287523483149396,0.009015600442899887
2020-03-05,0.4778864952334143,0.03282009724473258,0.00441354292623942,0.36661852051250116,0.01568428124550509
2020-03-06,0.1570142856101897,0.043354943273905995,0.012968561064087062,0.31323405887972616,0.006807345445822649
2020-03-09,0.5082808142014997,0.040113452188006486,0.012424425634824668,0.38106053168170123,0.020388898138552866
2020-03-10,0.3090587935222408,0.0299837925445705,0.008842200725513907,0.32478463111131006,0.009266754749046117
2020-03-11,0.3053129625249229,0.036466774716369534,0.026632406287787184,0.3742175234162211,0.011133779022383737
2020-03-12,0.22942928205453872,0.0806320907617504,0.02025392986698912,0.2812670127005675,0.018499362694024798
2020-03-13,0.2660241563547125,0.04578606158833063,0.004640266021765417,0.26692213364472467,0.012180198406840563
2020-03-16,0.3468462731366909,0.06564019448946515,0.01816807738814994,0.280766570515314,0.022767056826638543
2020-03-17,0.4515243130164326,0.04051863857374392,0.01237908101571947,0.35479824750261196,0.01829515044637085
2020-03-18,0.4011577106849689,0.04983792544570503,0.019891172914147524,0.39984276561269744,0.019992868077087188
2020-03-19,0.35328977330550876,0.028363047001620744,0.0063482466747279325,0.40199059900230344,0.010020374445456082
2020-03-20,0.38068262821537263,0.04092382495948136,0.11171402660217655,0.3783767040686168,0.01557898924220123
2020-03-23,0.34001268441705235,0.03606158833063209,0.008555018137847642,0.3579950286459779,0.012261397452640866
2020-03-24,0.5101416484221846,0.023500810372771474,0.004398428053204353,0.41027898701820326,0.011988742142822813
2020-03-25,0.2725273285115237,0.033630470016207455,0.008131801692865781,0.37422722045025353,0.009165222150103918
