Date,average_sentiment,mention_count,total_score,sentiment_moving_average_3d,sentiment_mentions_interaction
2020-01-09,0.35120802634940584,0.03343083994985374,0.01047739522604774,0.29040624993293923,0.011741179317991002
2020-01-10,0.22562293909869918,0.025491015461763477,0.00962490375096249,0.29040624993293923,0.00575135782909346
2020-01-13,0.29438778435071267,0.033848725449226916,0.01872731272687273,0.29040624993293923,0.009964651288093493
2020-01-14,0.3486973031554637,0.033848725449226916,0.022989770102298978,0.28956934220162517,0.011802959279395137
2020-01-15,0.2828662907658743,0.022147931466778105,0.007617423825761742,0.3086504594240169,0.006264903222144312
2020-01-16,0.3026085653739938,0.029669870455495198,0.012924870751292488,0.31139071976511057,0.008978356933369645
2020-01-17,0.3113103875442378,0.03719180944421229,0.03624463755362446,0.2989284145613686,0.011578196611549171
2020-01-21,0.37317321720420676,0.035938152946092775,0.023677263227367726,0.32903072337414613,0.013411156155270281
2020-01-22,0.44521892240873345,0.01671541997492687,0.004152458475415246,0.3765675090523926,0.007442021268846359
2020-01-23,0.20861361800266534,0.012118679481821982,0.003822461775382246,0.3423352525385352,0.0025281215721175494
2020-01-24,0.33404498982189024,0.015043877977434183,0.005362446375536244,0.329292510077763,0.00502533206585376
2020-01-27,0.5091061157412842,0.012954450480568326,0.0067374326256737435,0.3505882411886132,0.006595189965724953
2020-01-28,0.383144500528231,0.01880484747179273,0.003767462325376746,0.40876520203046846,0.007204973892089593
2020-01-29,0.4784246977344759,0.026326786460509823,0.01157738422615774,0.4568917713346637,0.012595384854689504
2020-01-30,0.3893974947839554,0.25699958211450064,0.3364591354086459,0.41698889768222075,0.10007499343590998
2020-01-31,0.4689103677286551,0.11951525282072713,0.6129138708612913,0.4455775200823621,0.056041941149350336
2020-02-03,0.28162045021535576,0.025073129962390306,0.006819931800681993,0.37997610424265543,0.007061106148316484
2020-02-04,0.3708175279431794,0.02841621395737568,0.011714882851171489,0.3737827819623967,0.010537230213178522
2020-02-05,0.4480710344943236,0.027162557459256165,0.007919920800791992,0.36683633755095296,0.012170755220280416
2020-02-06,0.3669658410611574,0.01880484747179273,0.004372456275437245,0.39528480116622017,0.006900736668513199
2020-02-07,0.39229202721170486,0.04346009193480987,0.01152238477615224,0.40244296758906195,0.017049047567913627
2020-02-10,0.3399715011788997,0.06101128290848308,0.009212407875921242,0.366409789817254,0.02074209743924754
2020-02-11,0.3333576889942919,0.09653155035520268,0.027334726652733475,0.35520707246163213,0.03217953454144649
2020-02-12,0.3467309173531526,0.05892185541161722,0.01168738312616874,0.34002003584211477,0.020430028979019858
2020-02-13,0.2977210111653536,0.08315921437526118,0.01886481135188648,0.32593653917093274,0.024758245391519166
2020-02-14,0.22482533851667208,0.03343083994985374,0.03682213177868222,0.2897590890117261,0.007516099908622552
2020-02-18,0.39631684637700604,0.02131216046803176,0.006984930150698493,0.30628773201967724,0.008446368226171045
2020-02-19,0.3242580755316992,0.025491015461763477,0.007204927950720493,0.3151334201417924,0.008265667616980214
2020-02-20,0.38642270219509334,0.014625992478061012,0.003767462325376746,0.36899920803459957,0.005651815535657446
2020-02-21,0.4086324685996009,0.01671541997492687,0.006682433175668244,0.3731044154421312,0.006830463328033446
2020-02-24,0.4510602183354854,0.01880484747179273,0.004152458475415246,0.41537179637672655,0.008482118606392329
2020-02-25,0.37053245686113395,0.01880484747179273,0.006077439225607744,0.4100750479320734,0.006967806334622243
2020-02-26,0.4111808897757953,0.014625992478061012,0.002969970300296997,0.4109245216574715,0.006013928600983216
2020-02-27,0.30958963700517184,0.0192227329711659,0.006984930150698493,0.3637676612140337,0.0059511589227906
2020-02-28,0.332160548689484,0.027162557459256165,0.02065229347706523,0.3509770251568171,0.009022329989476165
2020-03-02,0.25129542367481095,0.015461763476807357,0.003684963150368496,0.29768186978982225,0.003885470403664023
2020-03-03,0.2566306536520177,0.019640618470539075,0.009652403475965242,0.2800288753387709,0.005040384756224335
2020-03-04,0.49301470920205515,0.01420810697868784,0.0062699373006269935,0.33364692884296127,0.007004805730409476
2020-03-05,0.41086395116797747,0.01880484747179273,0.0035474645253547464,0.3868364380073501,0.007726233933371913
2020-03-06,0.3552748401967794,0.0162975344755537,0.004207457925420746,0.41971783352227066,0.005790103956403844
2020-03-09,0.321561501635454,0.028834099456748852,0.006159938400615994,0.3625667643334036,0.00927193631961819
2020-03-10,0.4554658570681578,0.0162975344755537,0.013749862501374987,0.3774340663001304,0.007422970508005915
2020-03-11,0.40614237857458896,0.03050564145424154,0.004784952150478495,0.39438991242606697,0.012389633780169242
2020-03-12,0.3713030498671419,0.03468449644797326,0.006407435925640743,0.41097042850329624,0.01287845931423852
2020-03-13,0.3564435798970369,0.015461763476807357,0.0035199648003519965,0.3779630027795893,0.00551124632519447
2020-03-16,0.32675620901259694,0.0325950689511074,0.007947420525794743,0.3515009462589252,0.010650641162968058
2020-03-17,0.327924543865382,0.04429586293355621,0.013529864701352987,0.33704144425833854,0.014525700647609902
2020-03-18,0.3567140118167234,0.05432511491851233,0.016884831151688484,0.33713158823156747,0.019378529684987066
2020-03-19,0.38747615281070463,0.04262432093606352,0.01053239467605324,0.3573715694976034,0.016515907892474663
2020-03-20,0.36719746125293967,0.03426661094860008,0.21900780992190078,0.37046254196012257,0.012582612546068137
2020-03-23,0.3871073902034109,0.033012954450480574,0.02265977340226598,0.38059366808901846,0.012779558640229614
2020-03-24,0.3383335501248402,0.028834099456748852,0.012292377076229238,0.36421280052706356,0.009755543233854564
2020-03-25,0.161327620612748,0.023819473464270793,0.005582444175558244,0.29558952031366637,0.0038427389782392965
