Date,MACD,Signal,RSI,ATR,OBV,Volume,MACD_lag_1,MACD_lag_2,MACD_lag_3,MACD_lag_4,MACD_lag_5,Signal_lag_1,Signal_lag_2,Signal_lag_3,Signal_lag_4,Signal_lag_5,RSI_lag_1,RSI_lag_2,RSI_lag_3,RSI_lag_4,RSI_lag_5,ATR_lag_1,ATR_lag_2,ATR_lag_3,ATR_lag_4,ATR_lag_5,OBV_lag_1,OBV_lag_2,OBV_lag_3,OBV_lag_4,OBV_lag_5,Volume_lag_1,Volume_lag_2,Volume_lag_3,Volume_lag_4,Volume_lag_5,Target
2020-01-09 00:00:00+00:00,0.6042034716469876,0.604660576725141,0.4363338606495851,0.00868032988946918,0.1539998183021635,0.14177229557915835,0.6032542234782723,0.6043080591985066,0.6019696594793003,0.6000067004693792,0.6044751665440161,0.6044794661465649,0.604529472455128,0.6042851328376496,0.6046605849472382,0.6057014588760531,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.1375572023724546,0.15576851695630167,0.13476995756057675,0.11368366406665714,0.13322604508702027,0.16535279387723745,0.202512669240427,0.20368235054725858,0.18309872802348776,0.20141219984524217,0
2020-01-10 00:00:00+00:00,0.6014806239852515,0.604171211487538,0.4363338606495851,0.00868032988946918,0.13918521498747582,0.1200674400867087,0.6042034716469876,0.6032542234782723,0.6043080591985066,0.6019696594793003,0.6000067004693792,0.604660576725141,0.6044794661465649,0.604529472455128,0.6042851328376496,0.6046605849472382,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.1539998183021635,0.1375572023724546,0.15576851695630167,0.13476995756057675,0.11368366406665714,0.14177229557915835,0.16535279387723745,0.202512669240427,0.20368235054725858,0.18309872802348776,1
2020-01-13 00:00:00+00:00,0.6009601874908368,0.6036584900501946,0.4363338606495851,0.00868032988946918,0.15362136766557213,0.1150218917276539,0.6014806239852515,0.6042034716469876,0.6032542234782723,0.6043080591985066,0.6019696594793003,0.604171211487538,0.604660576725141,0.6044794661465649,0.604529472455128,0.6042851328376496,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.13918521498747582,0.1539998183021635,0.1375572023724546,0.15576851695630167,0.13476995756057675,0.1200674400867087,0.14177229557915835,0.16535279387723745,0.202512669240427,0.20368235054725858,0
2020-01-14 00:00:00+00:00,0.5963528750745322,0.602175096432759,0.4363338606495851,0.00868032988946918,0.13575839379112536,0.16070867460573435,0.6009601874908368,0.6014806239852515,0.6042034716469876,0.6032542234782723,0.6043080591985066,0.6036584900501946,0.604171211487538,0.604660576725141,0.6044794661465649,0.604529472455128,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.15362136766557213,0.13918521498747582,0.1539998183021635,0.1375572023724546,0.15576851695630167,0.1150218917276539,0.1200674400867087,0.14177229557915835,0.16535279387723745,0.202512669240427,0
2020-01-15 00:00:00+00:00,0.5913966478132545,0.5998338896717186,0.4363338606495851,0.00868032988946918,0.12072108084255881,0.1230366310963582,0.5963528750745322,0.6009601874908368,0.6014806239852515,0.6042034716469876,0.6032542234782723,0.602175096432759,0.6036584900501946,0.604171211487538,0.604660576725141,0.6044794661465649,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.13575839379112536,0.15362136766557213,0.13918521498747582,0.1539998183021635,0.1375572023724546,0.16070867460573435,0.1150218917276539,0.1200674400867087,0.14177229557915835,0.16535279387723745,1
2020-01-16 00:00:00+00:00,0.5907502118738609,0.5978103450026377,0.4363338606495851,0.00868032988946918,0.134527520733021,0.10662648684489195,0.5913966478132545,0.5963528750745322,0.6009601874908368,0.6014806239852515,0.6042034716469876,0.5998338896717186,0.602175096432759,0.6036584900501946,0.604171211487538,0.604660576725141,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.12072108084255881,0.13575839379112536,0.15362136766557213,0.13918521498747582,0.1539998183021635,0.1230366310963582,0.16070867460573435,0.1150218917276539,0.1200674400867087,0.14177229557915835,0
2020-01-17 00:00:00+00:00,0.5878362060209731,0.5955127276295532,0.4363338606495851,0.00868032988946918,0.11377607039493322,0.19921818224603727,0.5907502118738609,0.5913966478132545,0.5963528750745322,0.6009601874908368,0.6014806239852515,0.5978103450026377,0.5998338896717186,0.602175096432759,0.6036584900501946,0.604171211487538,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.134527520733021,0.12072108084255881,0.13575839379112536,0.15362136766557213,0.13918521498747582,0.10662648684489195,0.1230366310963582,0.16070867460573435,0.1150218917276539,0.1200674400867087,1
2020-01-21 00:00:00+00:00,0.5910335506248414,0.5944194156280532,0.4363338606495851,0.00868032988946918,0.13302462005684546,0.17918133382427648,0.5878362060209731,0.5907502118738609,0.5913966478132545,0.5963528750745322,0.6009601874908368,0.5955127276295532,0.5978103450026377,0.5998338896717186,0.602175096432759,0.6036584900501946,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.11377607039493322,0.134527520733021,0.12072108084255881,0.13575839379112536,0.15362136766557213,0.19921818224603727,0.10662648684489195,0.1230366310963582,0.16070867460573435,0.1150218917276539,0
2020-01-22 00:00:00+00:00,0.5928112789745006,0.5939588658679996,0.4363338606495851,0.00868032988946918,0.1163276271560395,0.14516367924985363,0.5910335506248414,0.5878362060209731,0.5907502118738609,0.5913966478132545,0.5963528750745322,0.5944194156280532,0.5955127276295532,0.5978103450026377,0.5998338896717186,0.602175096432759,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.13302462005684546,0.11377607039493322,0.134527520733021,0.12072108084255881,0.13575839379112536,0.17918133382427648,0.19921818224603727,0.10662648684489195,0.1230366310963582,0.16070867460573435,0
2020-01-23 00:00:00+00:00,0.5937784311264727,0.5938157121969375,0.42744761998733405,0.0,0.10342915731139116,0.09452132349785927,0.5928112789745006,0.5910335506248414,0.5878362060209731,0.5907502118738609,0.5913966478132545,0.5939588658679996,0.5944194156280532,0.5955127276295532,0.5978103450026377,0.5998338896717186,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.4363338606495851,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.00868032988946918,0.1163276271560395,0.13302462005684546,0.11377607039493322,0.134527520733021,0.12072108084255881,0.14516367924985363,0.17918133382427648,0.19921818224603727,0.10662648684489195,0.1230366310963582,0
