Date,MACD,Signal,RSI,ATR,OBV,Volume,MACD_lag_1,MACD_lag_2,MACD_lag_3,MACD_lag_4,MACD_lag_5,Signal_lag_1,Signal_lag_2,Signal_lag_3,Signal_lag_4,Signal_lag_5,RSI_lag_1,RSI_lag_2,RSI_lag_3,RSI_lag_4,RSI_lag_5,ATR_lag_1,ATR_lag_2,ATR_lag_3,ATR_lag_4,ATR_lag_5,OBV_lag_1,OBV_lag_2,OBV_lag_3,OBV_lag_4,OBV_lag_5,Volume_lag_1,Volume_lag_2,Volume_lag_3,Volume_lag_4,Volume_lag_5,Target,average_sentiment,mention_count,total_score,sentiment_moving_average_3d,sentiment_mentions_interaction
2020-07-24 00:00:00+00:00,0.6269897965778776,0.6909907868488453,0.4896061882285973,0.2340223617684377,0.3808533221918261,0.4010083443964978,0.6566822827871958,0.6902208212733001,0.6980506981216266,0.7066898579792913,0.7045361088612581,0.7056845755084871,0.7157681987319069,0.7190161431333888,0.7208916938541452,0.720825978623776,0.5772155325991543,0.7822124591849656,0.7653881289212664,0.8708505318380771,0.8709727756233993,0.2225658225124442,0.1776865434303083,0.1712481394248152,0.158466105891987,0.1620640687030211,0.4204554176482721,0.4625274492519055,0.4435203705878049,0.465609445041294,0.4463212375171119,0.4297454888253962,0.1613900154971267,0.1972483344377862,0.1646608857439105,0.1693043089566038,1,0.2865534329989448,0.1446515397082658,0.0166565900846432,0.257281077042016,0.0414503952919867
2020-07-27 00:00:00+00:00,0.6142867597906798,0.6764006404010297,0.5724454997786665,0.2427647294853228,0.4067396437095325,0.2414284390291051,0.6269897965778776,0.6566822827871958,0.6902208212733001,0.6980506981216266,0.7066898579792913,0.6909907868488453,0.7056845755084871,0.7157681987319069,0.7190161431333888,0.7208916938541452,0.4896061882285973,0.5772155325991543,0.7822124591849656,0.7653881289212664,0.8708505318380771,0.2340223617684377,0.2225658225124442,0.1776865434303083,0.1712481394248152,0.158466105891987,0.3808533221918261,0.4204554176482721,0.4625274492519055,0.4435203705878049,0.465609445041294,0.4010083443964978,0.4297454888253962,0.1613900154971267,0.1972483344377862,0.1646608857439105,0,0.3830098672435551,0.0883306320907617,0.0216293833131801,0.2897285541681362,0.0338315036706219
2020-07-28 00:00:00+00:00,0.593935947546341,0.6601865460284182,0.450756489003143,0.2346852052223821,0.3846094805347735,0.1977263923498807,0.6142867597906798,0.6269897965778776,0.6566822827871958,0.6902208212733001,0.6980506981216266,0.6764006404010297,0.6909907868488453,0.7056845755084871,0.7157681987319069,0.7190161431333888,0.5724454997786665,0.4896061882285973,0.5772155325991543,0.7822124591849656,0.7653881289212664,0.2427647294853228,0.2340223617684377,0.2225658225124442,0.1776865434303083,0.1712481394248152,0.4067396437095325,0.3808533221918261,0.4204554176482721,0.4625274492519055,0.4435203705878049,0.2414284390291051,0.4010083443964978,0.4297454888253962,0.1613900154971267,0.1972483344377862,1,0.1697698624746927,0.079416531604538,0.0098246674727932,0.2797777209057309,0.0134825336487195
2020-07-29 00:00:00+00:00,0.5866368539362711,0.6455862290717195,0.4982320563184418,0.2388828285019223,0.40390007991799,0.164688714478918,0.593935947546341,0.6142867597906798,0.6269897965778776,0.6566822827871958,0.6902208212733001,0.6601865460284182,0.6764006404010297,0.6909907868488453,0.7056845755084871,0.7157681987319069,0.450756489003143,0.5724454997786665,0.4896061882285973,0.5772155325991543,0.7822124591849656,0.2346852052223821,0.2427647294853228,0.2340223617684377,0.2225658225124442,0.1776865434303083,0.3846094805347735,0.4067396437095325,0.3808533221918261,0.4204554176482721,0.4625274492519055,0.1977263923498807,0.2414284390291051,0.4010083443964978,0.4297454888253962,0.1613900154971267,1,0.2947681824533706,0.0883306320907617,0.0150544135429262,0.2825159707238728,0.0260370598763512
2020-07-30 00:00:00+00:00,0.5860614772166115,0.6337775605851774,0.5279091458176066,0.2547262510471911,0.4376701396602219,0.3331539373808737,0.5866368539362711,0.593935947546341,0.6142867597906798,0.6269897965778776,0.6566822827871958,0.6455862290717195,0.6601865460284182,0.6764006404010297,0.6909907868488453,0.7056845755084871,0.4982320563184418,0.450756489003143,0.5724454997786665,0.4896061882285973,0.5772155325991543,0.2388828285019223,0.2346852052223821,0.2427647294853228,0.2340223617684377,0.2225658225124442,0.40390007991799,0.3846094805347735,0.4067396437095325,0.3808533221918261,0.4204554176482721,0.164688714478918,0.1977263923498807,0.2414284390291051,0.4010083443964978,0.4297454888253962,1,0.3469252701675027,0.4688006482982171,0.0882103990326481,0.270487771698522,0.1626387915655594
2020-07-31 00:00:00+00:00,0.6409250057722836,0.6365752916897343,0.7283895834352174,0.3245068500565671,0.5176130733206021,0.870364807384156,0.5860614772166115,0.5866368539362711,0.593935947546341,0.6142867597906798,0.6269897965778776,0.6337775605851774,0.6455862290717195,0.6601865460284182,0.6764006404010297,0.6909907868488453,0.5279091458176066,0.4982320563184418,0.450756489003143,0.5724454997786665,0.4896061882285973,0.2547262510471911,0.2388828285019223,0.2346852052223821,0.2427647294853228,0.2340223617684377,0.4376701396602219,0.40390007991799,0.3846094805347735,0.4067396437095325,0.3808533221918261,0.3331539373808737,0.164688714478918,0.1977263923498807,0.2414284390291051,0.4010083443964978,1,0.3897656349112827,0.4939222042139384,0.0907194679564691,0.343819695844052,0.1925139015222259
2020-08-03 00:00:00+00:00,0.6970242367517179,0.6513339315700848,0.741146464320195,0.3497553874571382,0.5834214868641452,0.7059128856236506,0.6409250057722836,0.5860614772166115,0.5866368539362711,0.593935947546341,0.6142867597906798,0.6365752916897343,0.6337775605851774,0.6455862290717195,0.6601865460284182,0.6764006404010297,0.7283895834352174,0.5279091458176066,0.4982320563184418,0.450756489003143,0.5724454997786665,0.3245068500565671,0.2547262510471911,0.2388828285019223,0.2346852052223821,0.2427647294853228,0.5176130733206021,0.4376701396602219,0.40390007991799,0.3846094805347735,0.4067396437095325,0.870364807384156,0.3331539373808737,0.164688714478918,0.1977263923498807,0.2414284390291051,1,0.364321252521195,0.3099675850891409,0.0502116082224909,0.3670040525333269,0.1129277788406459
2020-08-04 00:00:00+00:00,0.7424858681041222,0.6732871556338538,0.7418169229150026,0.3452738260052311,0.6203824574053686,0.3702794576477711,0.6970242367517179,0.6409250057722836,0.5860614772166115,0.5866368539362711,0.593935947546341,0.6513339315700848,0.6365752916897343,0.6337775605851774,0.6455862290717195,0.6601865460284182,0.741146464320195,0.7283895834352174,0.5279091458176066,0.4982320563184418,0.450756489003143,0.3497553874571382,0.3245068500565671,0.2547262510471911,0.2388828285019223,0.2346852052223821,0.5834214868641452,0.5176130733206021,0.4376701396602219,0.40390007991799,0.3846094805347735,0.7059128856236506,0.870364807384156,0.3331539373808737,0.164688714478918,0.1977263923498807,1,0.336645198248823,0.1746353322528362,0.0250755743651753,0.363577361893767,0.0587901460475051
2020-08-05 00:00:00+00:00,0.7772392450398651,0.698606135183244,0.7784952376727288,0.3411709772038488,0.6463889698395545,0.2428268329632359,0.7424858681041222,0.6970242367517179,0.6409250057722836,0.5860614772166115,0.5866368539362711,0.6732871556338538,0.6513339315700848,0.6365752916897343,0.6337775605851774,0.6455862290717195,0.7418169229150026,0.741146464320195,0.7283895834352174,0.5279091458176066,0.4982320563184418,0.3452738260052311,0.3497553874571382,0.3245068500565671,0.2547262510471911,0.2388828285019223,0.6203824574053686,0.5834214868641452,0.5176130733206021,0.4376701396602219,0.40390007991799,0.3702794576477711,0.7059128856236506,0.870364807384156,0.3331539373808737,0.164688714478918,1,0.26317895688524,0.146677471636953,0.0219467956469165,0.3213818025517527,0.0386024239839776
2020-08-06 00:00:00+00:00,0.8225669046983715,0.7289777306336125,0.818140973269962,0.3829256842881062,0.6896194300276802,0.4432235415196029,0.7772392450398651,0.7424858681041222,0.6970242367517179,0.6409250057722836,0.5860614772166115,0.698606135183244,0.6732871556338538,0.6513339315700848,0.6365752916897343,0.6337775605851774,0.7784952376727288,0.7418169229150026,0.741146464320195,0.7283895834352174,0.5279091458176066,0.3411709772038488,0.3452738260052311,0.3497553874571382,0.3245068500565671,0.2547262510471911,0.6463889698395545,0.6203824574053686,0.5834214868641452,0.5176130733206021,0.4376701396602219,0.2428268329632359,0.3702794576477711,0.7059128856236506,0.870364807384156,0.3331539373808737,0,0.35527919031351,0.3119935170178282,0.0489570737605804,0.3183677818158577,0.1108448041091583
